Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
15,838	-9,632		
15,85	-16,855		
15,862	-17,781		
15,873	-28,895		
15,884	-33,711		
15,898	-27,228		
15,911	-29,821		
15,924	-36,304		
15,936	-30,006		
15,95	-26,857		
15,963	-24,82		
15,976	-34,081		
15,988	-38,526		
16,005	-53,159		
16,019	-52,974		
16,03	-48,343		
16,042	-47,417		
16,055	-42,231		
16,067	-43,713		
16,08	-20,745		
16,093	-15,188		
16,107	-19,448		
16,12	-16,114		
16,133	-13,707		
16,145	-18,152		
16,161	-12,966		
16,175	-22,042		
16,187	-29,451		
16,201	-26,302		
16,213	-19,819		
16,225	-26,487		
16,236	-24,449		
16,248	-12,41		
16,259	-24,449		
16,271	-36,119		
16,282	-42,972		
16,294	-32,599		
16,308	-32,229		
16,32	-32,785		
16,332	-33,525		
16,344	-39,267		
16,355	-37,971		
16,369	-36,119		
16,381	-35,007		
16,395	-35,748		
16,407	-24,264		
16,421	-38,341		
16,432	-36,304		
16,443	-36,304		
16,456	-33,711		
16,47	-43,898		
16,482	-39,082		
16,494	-26,672		
16,506	-32,229		
16,518	-38,897		
16,529	-30,191		
16,541	-24,449		
16,552	-29,08		
16,564	-27,598		
16,577	-19,263		
16,588	-8,891		
16,599	-6,668		
16,611	-6,853		
16,623	-22,227		
16,634	-30,562		
16,645	-25,005		
16,657	-15,188		
16,669	-21,115		
16,68	-19,448		
16,694	-24,264		
16,706	-29,636		
16,719	-26,302		
16,732	-30,562		
16,745	-34,452		
16,758	-34,266		
16,77	-34,266		
16,783	-33,711		
16,796	-33,525		
16,807	-46,862		
16,818	-44,268		
16,829	-43,342		
16,84	-54,456		
16,852	-48,158		
16,863	-27,228		
16,874	-29,08		
16,885	-19,078		
16,896	-16,855		
16,907	-27,413		
16,92	-20,375		
16,933	-13,892		
16,947	-13,892		
16,958	-16,114		
16,97	-13,336		
16,982	-20,93		
16,992	-33,896		
17,004	-31,118		
17,015	-34,822		
17,026	-32,229		
17,037	-28,895		
17,048	-25,931		
17,059	-26,302		
17,07	-32,785		
17,082	-40,008		
17,095	-43,157		
17,107	-43,898		
17,119	-47,602		
17,13	-51,677		
17,142	-45,195		
17,154	-47,973		
17,167	-44,639		
17,18	-32,229		
17,192	-24,635		
17,203	-28,895		
17,215	-35,007		
17,226	-44,268		
17,236	-42,231		
17,247	-42,787		
17,259	-31,858		
17,27	-27,598		
17,281	-26,857		
17,292	-25,931		
17,303	-26,857		
17,314	-35,192		
17,325	-21,301		
17,336	-15,559		
17,347	-18,337		
17,358	-23,709		
17,369	-26,672		
17,38	-16,114		
17,391	-17,226		
17,401	-25,746		
17,414	-15,929		
17,426	-15,929		
17,437	-20,189		
17,448	-25,746		
17,459	-12,78		
17,471	-11,854		
17,483	-20,56		
17,495	-22,782		
17,508	-30,932		
17,521	-30,932		
17,534	-28,524		
17,546	-21,301		
17,558	-18,708		
17,569	-10,187		
17,581	-13,336		
