Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
13,224	277,465		
13,235	265,425		
13,248	264,314		
13,261	261,535		
13,274	270,982		
13,286	268,944		
13,299	270,426		
13,31	271,723		
13,322	273,945		
13,332	280,058		
13,344	285,244		
13,357	300,062		
13,37	313,583		
13,382	313,583		
13,393	308,027		
13,406	301,729		
13,419	286,355		
13,431	285,429		
13,444	305,804		
13,456	310,805		
13,47	307,841		
13,482	303,766		
13,495	307,841		
13,506	309,323		
13,518	320,066		
13,53	316,176		
13,54	314,324		
13,551	322,289		
13,562	314,509		
13,573	313,028		
13,585	316,362		
13,595	322,474		
13,607	320,251		
13,619	319,51		
13,63	319,696		
13,642	326,919		
13,653	331,179		
13,665	329,883		
13,676	336,181		
13,687	330,994		
13,698	320,066		
13,709	322,844		
13,72	329,698		
13,733	338,959		
13,746	329,698		
13,759	318,029		
13,773	320,251		
13,784	335,254		
13,796	346,553		
13,809	343,589		
13,819	343,034		
13,829	353,962		
13,841	351,554		
13,851	360,445		
13,865	360,445		
13,877	373,04		
13,889	353,962		
13,9	351,554		
13,912	339,329		
13,923	337,662		
13,934	350,628		
13,945	360,63		
13,957	357,666		
13,968	361,371		
13,979	353,036		
13,991	361,741		
14,005	358,593		
14,02	353,592		
14,031	343,219		
14,043	369,891		
14,054	376,744		
14,066	373,225		
14,077	389,71		
14,09	391,377		
14,101	370,632		
14,111	366,187		
14,122	371,188		
14,133	374,707		
14,144	388,599		
14,155	382,857		
14,165	383,227		
14,177	377,115		
14,187	377,115		
14,198	378,041		
14,21	371,188		
14,223	369,521		
14,236	380,449		
14,248	378,041		
14,261	391,933		
14,274	399,342		
14,287	389,154		
14,298	394,341		
14,309	397,675		
14,32	400,453		
14,333	409,714		
14,344	415,456		
14,354	408,232		
14,366	407,862		
14,377	407,121		
14,389	387,487		
14,402	245,236		
14,414	92,426		
14,425	69,829		
14,437	70,385		
14,449	73,719		
14,462	95,946		
14,474	102,243		
14,486	101,873		
14,498	97,983		
14,509	94,093		
14,521	94,093		
14,531	98,539		
14,543	107,8		
14,556	99,835		
14,569	88,907		
14,585	89,463		
14,596	98,909		
14,607	102,058		
14,618	90,759		
14,63	98,539		
14,641	108,541		
14,654	103,169		
14,668	99,095		
14,683	98,724		
14,695	110,393		
14,709	119,099		
14,721	125,767		
14,732	114,653		
14,745	116,876		
14,759	119,84		
14,771	115,209		
14,786	117,987		
14,799	127,248		
14,812	134,843		
14,825	129,101		
14,837	132,25		
14,85	132,25		
14,861	121,692		
14,875	138,547		
14,889	153,18		
14,902	140,214		
14,916	125,581		
14,93	127,434		
14,941	125,396		
14,953	119,654		
14,966	144,474		
14,98	147,808		
14,993	145,586		
15,005	149,661		
15,019	150,957		
15,031	149,475		
15,044	153,55		
15,056	153,735		
15,069	160,033		
15,08	163,738		
15,093	164,478		
15,106	164,478		
15,119	155,588		
15,132	150,216		
15,143	158,366		
15,155	167,257		
15,168	168,368		
15,18	164,664		
15,193	163,923		
15,207	162,256		
15,219	157,44		
15,23	159,107		
15,242	164,293		
15,255	178,185		
15,265	181,704		
15,277	182,816		
15,29	177,074		
15,304	172,999		
15,317	182,816		
15,329	194,485		
15,341	189,484		
15,354	193,558		
15,366	189,854		
15,377	181,889		
15,389	188,557		
15,4	195,225		
15,412	193,373		
15,424	194,485		
15,435	208,376		
15,447	207,635		
15,46	210,414		
15,471	207,821		
15,485	204,857		
15,498	194,114		
15,51	194,114		
15,523	183,927		
15,535	183,556		
15,546	182,26		
15,557	185,779		
15,569	218,934		
15,579	219,675		
15,592	212,266		
15,605	205,968		
15,618	206,524		
15,63	206,339		
15,643	201,338		
15,656	199,486		
15,669	200,967		
15,682	194,299		
15,695	204,301		
15,708	223,194		
15,721	229,121		
15,735	213,007		
15,748	202,079		
15,759	211,155		
15,771	235,604		
15,782	237,271		
15,794	239,309		
15,806	239,309		
15,818	232,455		
15,829	221,712		
15,841	221,712		
15,855	212,266		
15,867	230,788		
15,88	238,383		
15,892	241,717		
15,903	237,456		
15,916	236,53		
15,928	253,2		
15,94	254,312		
15,95	252,645		
15,964	258,757		
15,977	266,166		
15,99	249,866		
16,003	242,087		
16,017	237,456		
16,029	233,196		
16,041	241,717		
16,055	245,977		
16,069	248,199		
16,082	249,496		
16,095	264,499		
16,108	266,907		
16,12	270,241		
16,134	269,5		
16,146	273,945		
16,159	268,759		
16,172	268,759		
16,186	243,754		
16,201	247,273		
16,213	255,794		
16,226	257,275		
16,238	251,904		
16,252	250,978		
16,264	262,276		
16,277	268,389		
16,29	270,056		
16,302	274,501		
16,315	271,538		
16,326	281,354		
16,337	284,688		
16,349	270,056		
16,361	275,612		
16,373	277,279		
16,384	272,464		
16,396	275,612		
16,41	267,463		
16,424	255,608		
16,437	235,234		
16,45	219,675		
16,462	242,272		
16,475	245,236		
16,488	233,382		
16,499	233,382		
16,514	224,861		
16,527	226,713		
16,54	232,27		
16,553	233,011		
16,564	228,936		
16,575	230,788		
16,588	229,677		
16,602	225,973		
16,613	201,523		
16,625	202,449		
16,636	205,042		
16,647	213,192		
