Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
34,673	52,048		
34,685	58,345		
34,699	63,717		
34,711	65,569		
34,724	54,826		
34,737	41,12		
34,749	23,153		
34,762	24,079		
34,773	42,416		
34,785	54,641		
34,796	54,456		
34,807	55,567		
34,819	50,751		
34,83	55,937		
34,842	46,862		
34,853	37,415		
34,865	27,228		
34,878	23,709		
34,891	27,228		
34,902	40,379		
34,913	33,155		
34,925	29,636		
34,938	25,931		
34,952	34,452		
34,965	58,16		
34,977	65,013		
34,99	59,642		
35,003	58,716		
35,017	55,011		
35,028	54,641		
35,039	54,27		
35,05	51,122		
35,062	42,231		
35,075	27,598		
35,089	28,339		
35,102	40,379		
35,114	35,748		
35,125	20,745		
35,136	20,189		
35,148	22,042		
35,16	28,71		
35,173	36,674		
35,186	43,342		
35,199	52,048		
35,211	52,974		
35,224	47,973		
35,236	47,973		
35,248	44,454		
35,26	50,196		
35,273	44,639		
35,286	41,675		
35,297	36,859		
35,309	27,043		
35,321	23,894		
35,332	47,232		
35,344	53,159		
35,355	59,827		
35,367	66,31		
35,379	62,976		
35,39	64,087		
35,401	50,936		
35,413	49,825		
35,425	58,16		
35,438	52,418		
35,451	43,898		
35,465	41,305		
35,476	46,491		
35,488	48,343		
35,501	52,974		
35,514	51,122		
35,526	44,824		
35,54	30,932		
35,553	18,152		
35,566	20,745		
35,579	29,451		
35,591	32,414		
35,604	35,007		
35,617	49,825		
35,629	37,045		
35,639	19,448		
35,651	37,23		
35,663	48,158		
35,674	57,049		
35,685	60,198		
35,698	54,641		
35,71	39,453		
35,723	46,121		
35,736	44,824		
35,746	42,972		
35,757	47,047		
35,77	46,862		
35,782	46,676		
35,797	46,676		
35,81	41,305		
35,822	33,896		
35,834	27,598		
35,846	40,379		
35,856	41,86		
35,867	51,677		
35,88	55,382		
35,891	48,899		
35,904	48,899		
35,915	36,119		
35,926	23,894		
35,938	17,781		
35,952	25,561		
35,965	40,934		
35,977	44,639		
35,988	41,49		
35,999	29,08		
36,01	42,601		
36,022	40,749		
36,034	33,34		
36,046	29,08		
36,057	26,117		
36,069	30,562		
36,079	42,416		
36,09	45,38		
36,101	57,234		
36,112	66,866		
36,123	61,124		
36,134	54,085		
36,145	47,417		
36,156	32,785		
36,167	27,228		
36,178	30,006		
36,19	44,083		
36,2	52,418		
36,212	57,049		
36,223	61,124		
36,233	56,678		
36,246	50,196		
36,258	44,454		
36,27	36,859		
36,282	39,823		
36,293	39,823		
36,303	27,784		
36,316	31,118		
36,328	46,121		
36,34	46,491		
36,352	43,713		
36,364	38,526		
36,375	37,045		
36,386	45,195		
36,398	57,234		
36,411	60,939		
36,422	50,936		
36,435	56,493		
36,447	53,9		
36,46	45,935		
36,471	25,376		
36,482	42,972		
36,496	59,457		
36,508	58,901		
36,523	52,974		
36,535	40,008		
36,547	26,302		
36,559	30,006		
36,574	41,49		
36,585	45,38		
36,596	45,565		
36,607	52,418		
36,618	53,53		
36,632	46,491		
36,645	31,858		
36,658	40,008		
36,669	46,676		
36,681	50,936		
36,694	46,862		
36,706	42,046		
36,718	30,562		
36,731	30,562		
36,745	37,045		
36,758	24,264		
36,771	25,376		
36,784	30,006		
36,797	34,822		
36,809	56,678		
36,822	51,492		
36,834	52,048		
36,845	48,529		
36,858	40,934		
36,869	28,154		
36,88	39,267		
36,892	39,267		
36,903	39,638		
36,916	45,565		
36,929	33,711		
36,941	30,747		
36,953	47,047		
36,965	51,492		
36,977	38,897		
36,989	40,564		
37	55,197		
37,013	66,495		
37,025	52,603		
37,036	42,416		
37,048	39,823		
37,06	31,858		
37,072	42,787		
37,084	46,491		
37,099	45,75		
37,112	45,195		
37,126	47,973		
37,138	47,788		
37,15	41,305		
37,161	44,454		
37,173	35,563		
37,186	35,378		
37,197	28,71		
37,208	52,233		
37,221	50,381		
37,233	50,381		
37,247	45,935		
37,26	57,234		
37,273	56,308		
37,286	52,233		
37,298	44,824		
37,311	50,196		
37,322	42,231		
37,333	24,449		
37,344	22,968		
37,355	26,672		
37,368	27,228		
37,38	26,302		
37,392	43,342		
37,403	47,047		
37,416	44,639		
37,428	45,38		
37,438	51,492		
37,45	50,751		
37,462	40,379		
37,474	33,711		
37,488	36,304		
37,501	40,934		
37,514	44,639		
37,526	27,228		
37,539	39,082		
37,55	56,123		
37,562	56,123		
37,572	66,31		
37,584	62,42		
37,596	53,53		
37,61	45,935		
37,623	42,231		
37,636	48,714		
37,651	28,895		
37,664	42,416		
37,677	47,788		
37,689	46,121		
37,704	50,01		
37,717	41,12		
37,728	44,824		
37,74	53,159		
37,754	58,16		
37,765	49,64		
37,777	37,23		
37,788	27,228		
37,8	48,529		
37,812	51,677		
37,824	58,531		
37,836	52,233		
37,847	56,493		
37,861	50,196		
37,874	45,565		
37,888	53,715		
37,9	53,715		
37,913	44,083		
37,927	52,974		
37,939	55,567		
37,953	36,304		
37,966	21,301		
37,98	17,596		
37,992	21,856		
38,007	43,898		
38,02	56,678		
38,031	46,862		
38,042	44,824		
38,053	51,122		
38,066	53,715		
38,078	43,528		
38,09	35,748		
38,102	32,785		
38,114	32,785		
38,127	26,302		
38,141	29,265		
38,154	52,603		
38,166	56,123		
38,177	57,234		
38,189	50,936		
38,203	60,939		
38,216	57,419		
38,228	57,419		
38,242	51,863		
38,254	45,565		
38,266	36,674		
38,278	27,228		
38,288	27,413		
38,301	27,228		
38,313	31,118		
38,325	60,568		
38,337	60,753		
38,349	62,791		
38,362	52,789		
38,376	48,714		
38,389	52,603		
38,403	50,196		
38,416	47,973		
38,428	52,233		
38,44	46,121		
38,451	38,526		
38,462	28,339		
38,474	34,637		
38,485	47,047		
38,496	45,009		
38,508	44,268		
38,52	43,528		
38,532	47,788		
38,544	49,455		
38,554	54,27		
38,566	54,27		
38,579	51,122		
38,59	52,418		
38,603	49,269		
38,615	42,601		
38,627	36,304		
38,639	37,786		
38,651	50,751		
38,662	57,79		
38,672	54,27		
38,684	52,789		
38,694	46,676		
38,705	37,045		
38,716	43,342		
38,727	49,084		
38,738	51,122		
38,749	47,973		
38,761	53,9		
38,771	46,121		
38,782	36,489		
38,793	52,974		
